menu_id,time_idx,predicted_quantity,p10,p90,menu,date
8,274,4.3327146,1.3044323,12.8969145,비빔밥,2025-05-02
8,275,5.997796,1.3047527,12.8989,비빔밥,2025-05-03
8,276,7.9607897,1.3042337,12.900977,비빔밥,2025-05-04
8,277,9.956613,1.3034616,12.90294,비빔밥,2025-05-05
8,278,12.898864,1.302627,12.904649,비빔밥,2025-05-06
9,272,12.899132,1.3034422,12.905073,샐러드,2025-04-30
9,272,9.9593525,1.3041704,12.90331,샐러드,2025-04-30
9,273,12.899096,1.3033129,12.905007,샐러드,2025-05-01
9,272,7.9624305,1.3048412,12.901292,샐러드,2025-04-30
9,273,9.958785,1.304046,12.90326,샐러드,2025-05-01
9,274,12.899053,1.3031932,12.904951,샐러드,2025-05-02
9,272,5.998654,1.3052449,12.899108,샐러드,2025-04-30
9,273,7.9620795,1.304704,12.901225,샐러드,2025-05-01
9,274,9.958239,1.303914,12.903189,샐러드,2025-05-02
9,275,12.898999,1.3030653,12.904876,샐러드,2025-05-03
9,272,4.3326087,1.3048012,12.896981,샐러드,2025-04-30
9,273,5.9983964,1.3051028,12.899024,샐러드,2025-05-01
9,274,7.9616895,1.3045679,12.901126,샐러드,2025-05-02
9,275,9.957725,1.3037821,12.9030905,샐러드,2025-05-03
9,276,12.898938,1.302936,12.904783,샐러드,2025-05-04
9,272,3.0106144,1.3013515,12.894977,샐러드,2025-04-30
9,273,4.3325944,1.3046355,12.896981,샐러드,2025-05-01
9,274,5.9980636,1.3049424,12.8990135,샐러드,2025-05-02
9,275,7.961304,1.3044138,12.901111,샐러드,2025-05-03
9,276,9.957183,1.3036335,12.903068,샐러드,2025-05-04
9,277,12.898932,1.3027925,12.904756,샐러드,2025-05-05
9,272,1.3010279,1.2863731,12.892569,샐러드,2025-04-30
9,273,3.010781,1.3012078,12.894956,샐러드,2025-05-01
9,274,4.3325353,1.3044702,12.8969755,샐러드,2025-05-02
9,275,5.9977174,1.3047768,12.89901,샐러드,2025-05-03
9,276,7.9609704,1.3042518,12.901101,샐러드,2025-05-04
9,277,9.956648,1.303476,12.903051,샐러드,2025-05-05
9,278,12.898912,1.3026391,12.904726,샐러드,2025-05-06
10,272,12.899177,1.3034737,12.905126,순두부찌개,2025-04-30
10,272,9.959342,1.3042117,12.903344,순두부찌개,2025-04-30
10,273,12.899107,1.3033535,12.90503,순두부찌개,2025-05-01
10,272,7.9624624,1.3048775,12.901273,순두부찌개,2025-04-30
10,273,9.958806,1.3040808,12.903243,순두부찌개,2025-05-01
10,274,12.899037,1.3032266,12.904935,순두부찌개,2025-05-02
10,272,5.998777,1.3052837,12.89902,순두부찌개,2025-04-30
10,273,7.9620633,1.3047401,12.90113,순두부찌개,2025-05-01
10,274,9.958285,1.3039458,12.903102,순두부찌개,2025-05-02
10,275,12.898936,1.3030931,12.904803,순두부찌개,2025-05-03
10,272,4.3326244,1.3048269,12.896947,순두부찌개,2025-04-30
10,273,5.9984045,1.3051245,12.898989,순두부찌개,2025-05-01
10,274,7.9616895,1.3045878,12.901094,순두부찌개,2025-05-02
10,275,9.957713,1.3038006,12.90306,순두부찌개,2025-05-03
10,276,12.898904,1.302954,12.904754,순두부찌개,2025-05-04
10,272,3.0106385,1.3013662,12.894881,순두부찌개,2025-04-30
10,273,4.3326592,1.3046757,12.896869,순두부찌개,2025-05-01
10,274,5.998123,1.3049859,12.898888,순두부찌개,2025-05-02
10,275,7.9613123,1.3044562,12.900982,순두부찌개,2025-05-03
10,276,9.957181,1.3036743,12.902946,순두부찌개,2025-05-04
10,277,12.898822,1.3028312,12.904647,순두부찌개,2025-05-05
10,272,1.3010038,1.28598,12.892581,순두부찌개,2025-04-30
10,273,3.010835,1.3011727,12.8948765,순두부찌개,2025-05-01
10,274,4.33269,1.3045104,12.896838,순두부찌개,2025-05-02
10,275,5.997828,1.3048313,12.898837,순두부찌개,2025-05-03
10,276,7.9609146,1.3043084,12.900921,순두부찌개,2025-05-04
10,277,9.956652,1.3035315,12.902883,순두부찌개,2025-05-05
10,278,12.8987875,1.3026927,12.904584,순두부찌개,2025-05-06
11,272,12.899,1.3035272,12.90495,오므라이스,2025-04-30
11,272,9.959306,1.304257,12.903177,오므라이스,2025-04-30
11,273,12.898961,1.3033986,12.9048815,오므라이스,2025-05-01
11,272,7.962424,1.3049223,12.9010935,오므라이스,2025-04-30
11,273,9.958781,1.304125,12.903075,오므라이스,2025-05-01
11,274,12.898897,1.3032691,12.904788,오므라이스,2025-05-02
11,272,5.998716,1.3053023,12.898967,오므라이스,2025-04-30
11,273,7.962047,1.3047615,12.90108,오므라이스,2025-05-01
11,274,9.958214,1.3039706,12.903054,오므라이스,2025-05-02
11,275,12.898885,1.3031206,12.904757,오므라이스,2025-05-03
11,272,4.3325877,1.3048416,12.896914,오므라이스,2025-04-30
11,273,5.998364,1.3051368,12.898961,오므라이스,2025-05-01
11,274,7.961696,1.3046014,12.901068,오므라이스,2025-05-02
11,275,9.957662,1.3038161,12.903031,오므라이스,2025-05-03
11,276,12.8988695,1.3029709,12.904725,오므라이스,2025-05-04
11,272,3.0106297,1.3013977,12.894894,오므라이스,2025-04-30
11,273,4.3325896,1.3046775,12.896899,오므라이스,2025-05-01
11,274,5.998062,1.3049833,12.898929,오므라이스,2025-05-02
11,275,7.9613266,1.3044549,12.901024,오므라이스,2025-05-03
11,276,9.957138,1.3036747,12.902986,오므라이스,2025-05-04
11,277,12.898849,1.3028337,12.904677,오므라이스,2025-05-05
11,272,1.3010427,1.2861993,12.892571,오므라이스,2025-04-30
11,273,3.010824,1.3012166,12.894906,오므라이스,2025-05-01
11,274,4.332592,1.3045161,12.896892,오므라이스,2025-05-02
11,275,5.9977593,1.3048307,12.898906,오므라이스,2025-05-03
11,276,7.9609485,1.304308,12.900994,오므라이스,2025-05-04
11,277,9.956617,1.3035325,12.902949,오므라이스,2025-05-05
11,278,12.898836,1.3026955,12.904639,오므라이스,2025-05-06
12,272,12.899061,1.3035179,12.905007,우동,2025-04-30
12,272,9.959335,1.3042421,12.903241,우동,2025-04-30
12,273,12.899017,1.3033837,12.904941,우동,2025-05-01
12,272,7.9624343,1.3049064,12.901172,우동,2025-04-30
12,273,9.9588,1.3041096,12.90315,우동,2025-05-01
12,274,12.898961,1.3032545,12.904854,우동,2025-05-02
12,272,5.9987617,1.3053304,12.898954,우동,2025-04-30
12,273,7.9620576,1.3047893,12.901066,우동,2025-05-01
12,274,9.958245,1.3039974,12.903043,우동,2025-05-02
12,275,12.898882,1.3031459,12.904751,우동,2025-05-03
12,272,4.3326592,1.3048657,12.8969145,우동,2025-04-30
12,273,5.9984217,1.3051693,12.898945,우동,2025-05-01
12,274,7.961669,1.3046347,12.901046,우동,2025-05-02
12,275,9.957687,1.3038489,12.903017,우동,2025-05-03
12,276,12.898875,1.3030025,12.904721,우동,2025-05-04
12,272,3.0106485,1.3014017,12.894909,우동,2025-04-30
12,273,4.332625,1.3046979,12.8969,우동,2025-05-01
12,274,5.9980836,1.3050061,12.898919,우동,2025-05-02
12,275,7.9613004,1.304478,12.901015,우동,2025-05-03
12,276,9.957137,1.303698,12.90298,우동,2025-05-04
12,277,12.898852,1.3028568,12.904678,우동,2025-05-05
12,272,1.3010627,1.2862623,12.89258,우동,2025-04-30
12,273,3.0108285,1.3012396,12.894918,우동,2025-05-01
12,274,4.332574,1.3045285,12.896909,우동,2025-05-02
12,275,5.9977427,1.3048407,12.898925,우동,2025-05-03
12,276,7.9609494,1.304318,12.901011,우동,2025-05-04
12,277,9.956599,1.3035433,12.902969,우동,2025-05-05
12,278,12.898854,1.3027067,12.904658,우동,2025-05-06
13,272,12.899116,1.30347,12.905039,제육볶음,2025-04-30
13,272,9.959331,1.3041918,12.903244,제육볶음,2025-04-30
13,273,12.89907,1.3033352,12.904968,제육볶음,2025-05-01
13,272,7.9622984,1.30483,12.901248,제육볶음,2025-04-30
13,273,9.958757,1.3040378,12.903229,제육볶음,2025-05-01
13,274,12.89906,1.3031871,12.904941,제육볶음,2025-05-02
13,272,5.9986677,1.3052084,12.899135,제육볶음,2025-04-30
13,273,7.961957,1.3046707,12.901242,제육볶음,2025-05-01
13,274,9.958205,1.3038844,12.9032135,제육볶음,2025-05-02
13,275,12.89905,1.3030381,12.904914,제육볶음,2025-05-03
13,272,4.332602,1.3047519,12.897094,제육볶음,2025-04-30
13,273,5.998348,1.3050523,12.899126,제육볶음,2025-05-01
13,274,7.961596,1.3045211,12.901227,제육볶음,2025-05-02
